Platz,Bundesländer,Vorjahresvergleich
1,Berlin,'43.0'
2,Hessen,'36.9'
3,Bayern,'36.0'
4,Nordrhein-Westfalen,'33.6'
5,Hamburg,'32.7'
6,Bremen,'32.2'
7,Baden-Württemberg,'30.1'
8,Saarland,'29.7'
9,Rheinland-Pfalz,'29.3'
10,Niedersachsen,'28.4'
11,Thüringen,'27.0'
12,Sachsen-Anhalt,'23.9'
13,Schleswig-Holstein,'23.6'
14,Sachsen,'22.9'
15,Brandenburg,'18.1'
16,Mecklenburg-Vorpommern,'14.6'
