Platz,Bundesländer,Vorjahresvergleich
1,Berlin,-12.2
2,Saarland,-10.5
3,Bremen,-10.4
4,Niedersachsen,-9.4
5,Rheinland-Pfalz,-9.2
6,Nordrhein-Westfalen,-9.1
7,Hessen,-8.7
8,Bayern,-7.9
9,Baden-Württemberg,-7.5
10,Brandenburg,-7.4
11,Schleswig-Holstein,-7.3
12,Hamburg,-7.1
13,Sachsen-Anhalt,-7.0
14,Thüringen,-6.6
15,Mecklenburg-Vorpommern,-5.3
16,Sachsen,-5.3
